ID_producto	Descripcion
200470	COCHE
200471	COCHE
200472	COCHE
200473	COCHE
200474	COCHE
200475	COCHE
200476	COCHE
200477	ANDADOR
200478	ANDADOR
200479	ANDADOR
200480	ANDADOR
200481	ANDADOR
200482	ANDADOR
200483	ANDADOR
200484	ANDADOR
200485	TOALLA
200486	TOALLA
200487	JEANS
200488	DIOLEN
200489	MICROFIBRA LISA 1,50 A.
200490	TWILL
2005	VELAS
20050	FRIMESA
200500	BOLSA
20050012	NESTLE
200501	BOLSA
200502	BOLSA
200506	SABANA
2005064	HINDS
2005065	HINDS
2005067	HINDS
200507	SABANA
2005072	ZITRON
200508	SABANA
200509	SABANA
20051	RUCULA
200510	PANTALETA
200511	PANTALETA
200512	PANTALETA
200513	PANTALETA
200514	PANTALETA
200515	PANTALETA
200516	PANTALETA
200517	BIKINI
200518	BIKINI
200519	BIKINI
20052	PESCADO
200520	BIKINI DAMA REF:22C 1718.,
20052013	NESTLE
20052014	NESTLE
20052015	NESTLE
20052017	NESTLE
20052018	NESTLE
200521	BIKINI DAMA REF:22C 1887.,
200522	BIKINI
200523	SABANA
200524	SABANA
200525	SABANA
200526	SABANA
200527	SABANA
200528	SABANA
200529	SABANA
20053	FRIMESA
200530	SABANA
2005390511	PACK
20054	FRIMESA
200548	ZITRON
200550	BOMBACHA
200551	TELA
200552	SLIP
200553	MOCHILA
200554	MOCHILA
200555	RIÑONERA
200556	BOLSO
200557	BOLSO
2005578	BOMBOM
200558	MOCHILA
200559	MOCHILA
200560	MOCHILA
200561	MOCHILA
200562	MOCHILA
200563	MOCHILA
200564	SLIP
200565	SLIP
200566	SLIP
200567	SLIP
200568	SLIP
200569	BOXER
200570	BOXER
200571	SLIP
200573	CORPIÑO
200574	BIKINI
200575	PANTALETA
200576	PANTALETA
200577	PANTALETA
200578	BIKINI
200579	BIKINI
20058	RINOX TERMO ACERO 2,5 L MODELO 2 039-41352-2
200580	PANTALETA
200581	PANTALETA
200582	BIKINI
200583	PANTALETA
200584	BIKINI
200585	BIKINI
200586	BOXER
200588	SABANA
200589	SABANA
200590	SABANA
200591	SABANA
200592	SABANA
200593	CORTINA CRUDA INDU ( C/ PAÑO ) 140X230,
200594	CORTINA
200595	CORTINA
200596	CENTRO DE MESA HILO 13 X 45. REF:LIR1345,.
200597	CENTRO
200598	CENTRO
200599	CENTRO
2006	VELAS
20060	MENTA
200600	ASATEX
2006000	HUGGIES
2006001	HUGGIES
2006002	HUGGIES
2006003	HUGGIES
2006005	HUGGIES
2006007	HUGGIES
2006009	HUGGIES
200601	CARTERA
2006010	HUGGIES
2006011	HUGGIES
2006012	HUGGIES
2006013	BABELITO
2006014	PAMPERS
2006015	HUGGIES
2006016	AFFECTIVE
2006017	AFFECTIVE
200602	MOCHILA
2006022	PAMPERS
2006023	PAMPERS
2006024	PAMPERS
200603	MOCHILA
2006036	PAMPERS
2006037	PAMPERS
2006038	PAMPERS
2006039	PAMPERS
200604	MOCHILA
200605	BOLSO
2006051	BABELITO
2006052	BABELITO
2006058	BABELITO
2006059	BABELITO
200606	BOLSO
2006060	BABELITO
2006061	BABELITO
2006062	BABELITO
2006063	BABELITO
2006065	BABELITO
2006066	BABELITO
2006067	BABELITO
2006068	BABELITO
2006069	BABELITO
200607	CARTERITAS
2006070	BABELITO
2006071	BABELITO
2006072	BABELITO
2006073	BABELITO
200608	CARTUCHERAS
2006084	BABELITO
2006089	BABELITO
200609	FRAZADA
20061	MANTEL
200610	BOLSO
20062	MANTEL
200625	BIKINI
200626	COLALES
200627	BIKINI
200628	COLALES
200629	BIKINI
20063	PAÑO
200630	SLIP
200631	BOMBACHITA
200632	SLIP
200633	PELOTA
200634	PELOTA
200635	PELOTA
200636	PELOTA FUTSAL REF:GROUP-SU-3,5
200637	PELOTA
200638	PELOTA
200639	PELOTA
20064	SET
200640	PELOTA
200641	REMERA
200642	POLERA
200643	BOBY
200644	BODY
200645	BODY
200646	REMERA
200647	REMERA
200648	PIYAMA
200649	MUSCULOSA
20065	SET
200650	MUSCULOSA
200651	REMERA
200652	REMERA
200653	REMERA
200654	REMERA
200655	REMERA
200656	REMERA
200657	REMERA HOMBRE M/C SWITZELAND. REF: 5090,
200658	REMERA
200659	CALZONCILLO
20066	TOALLA
200660	CALZONCILLO
200661	CALZA
200662	BOXER
200663	SLIP
200664	SLIP
200665	PANTALETA
200666	PAÑO
200667	BOMBACHITA
2006671	BOMBACHITA
200668	JEANS
200669	SLIP
20067	SET
200670	BOXER
200671	BOMBACHA
200672	BOMBACHA
200673	PANTALON
200674	PANTALON
200675	PANTALON
200676	PANTALON
200677	CONJUNTO
200678	CONJUNTO
200679	CONJUNTO
20068	SET
200680	CONJUNTO
200681	CONJUNTO
200682	PANTALON
200684	CALZA
200685	CHAQUETA
200686	CHAQUETA
200687	JEANS
200688	JEANS
200689	JEANS
20069	SET
200690	JEANS
200691	JEANS
200692	JEANS
200693	JEANS
200694	CAMPERA
200695	CAMPERA
200696	VESTIDO
200697	REMERA
2007	CUCHILLO
20070	SET
200700	PAÑO
200701	TERMO
200702	INDIVIDUAL
200703	INDIVIDUAL
200704	INDIVIDUAL
200705	FUNDA
200706	FUNDA
2007069	P2
200707	FUNDA
200708	FUNDA
2007084	TEKA
2007085	TEKA
2007086	TEKA
2007087	TEKA
2007088	TEKA
200709	ALMOHADON
20071	TOALLA
200710	ALMOHADON
200711	SET
200712	ALFOMBRA
200713	COLCHA
200714	COLCHA
200715	SET
200716	ALFOMBRA
200717	ALFOMBRA
200718	ALFOMBRA
200719	ALFOMBRA
20072	SET
200720	PAÑO
200721	PAÑO
200722	PAÑO
200723	PAÑO
2007231	PAÑO
2007232	PAÑO
200724	TOALLA
200725	VASO
200726	VASO
200727	JARRO
200728	JARRO
200729	JARRO
20073	TOALLA
200730	JARRO
200731	JARRO
200732	JARRO
200733	JARRO
200734	JARRO
200735	JARRO
200736	JARRO
200737	JARRO
200738	JARRO
200739	JARRO
20074	SET
200740	JARRO
200741	JARRO
200742	BANDEJA
200743	BANDEJA
200744	BANDEJA
200745	COTONETE
200746	COTONETE
200747	MANTEL
200748	MANTEL
200749	CUCHARA
20075	CORTINA
200750	VIANDA
200751	SHORT
200752	TRAJE
200753	FAJA
200754	FAJA
200755	CORTINA
200756	CORTINA
200757	CORTINA
200758	MANTEL
200759	MANTEL
20076	CORTINA
200760	MANTEL
200761	MANTEL
200762	MANTEL
200763	POLARIZADO
200764	SOPORTE
200765	SOPORTE
200767	SOPORTE
200768	CUERDA
200769	CUERDA
20077	CORTINA
200770	PAÑO
200771	PAÑOS
200772	PALITOS
200773	ALFOMBRA
200774	ALFOMBRA
200775	ALFOMBRA
200776	ALFOMBRA
200777	ALFOMBRA
200778	ABRIDOR
200779	COLADOR
20078	FORRO
200780	SET
200781	SET
200782	PINZA
200783	PINZA
200784	GUANTE
200785	SET
200786	TAPA
200787	SHOWER
200788	SHOWER
200789	SHOWER
20079	CORTINA
200790	MAMADERA
200791	SET
200792	MANGA
200793	SERVILLETERO
200794	JARRA
200795	FRASCO
200796	POTE
200797	CENICERO
200798	CENICERO
200799	MANIJA
2008	VELAS
20080	CORTINA
200800	MANIJA
2008001	LA
2008002	LA
200801	JARRA
200802	JARRA
200803	JARRA
200804	MALETA
2008041	MALETA
2008042	MALETA
2008043	MALETA
200805	MALETIN
200806	MALETIN
200807	MALETIN
200808	MALETIN
200809	MALETIN
2008091	MALETIN
2008092	MALETIN
20081	SET
200810	MEDIA
200811	MEDIA
200812	ESPEJO
200813	ESPEJO
200814	ESPEJO
200815	PANERA
200816	BANDEJITA
200817	BANDEJITA
200818	BANQUITO
200819	BANQUITO
200820	JABONERA
200821	JABONERA
200822	JABONERA
200823	EXPRIMIDOR
200824	EXPRIMIDOR
200825	BOWL
200826	BOWL
200827	PLATITO
200828	PLATO
200829	PLATO
200830	BOWL
200831	BOWL
200832	BOWL
200833	BOWL
200834	BOWL
200835	BOWL
200836	BOWL
200837	BOWL
200838	BOWL
200839	BOWL
200840	BOWL
200841	BOWL
200842	BOWL
200843	BANDEJA
200844	BANDEJA
200845	BANDEJA
200846	BANDEJA
200847	BANDEJA
200848	BANDEJA
200849	BANDEJA
200850	BANDEJA
200851	BANDEJA
200852	BANDEJA
200853	BANDEJA
200854	BANDEJA
200855	BANDEJA
200856	BANDEJA
200857	BASURERO
200858	BASURERO
200859	FAJA
200860	MANTEL
200861	CENTRO
200862	LECHERO
200863	AZUCARERO
200864	TAZA
200865	JARRA
200866	JARRA APANERA ACRILICA TAPA COLOR 1,5 LT REF:2067
200867	PORTA
200868	PLANCHA
200869	PLANCHA
200870	CUCHARON
200871	CUCHARON
200872	CUCHARON
200873	PANERA
200874	PANERA
200875	SET
200876	ALFOMBRA
200877	PIREX
200878	PIREX  VIDRIO  REDONDO 2,1LT CAJA REGALO REF:4218
200879	BANDEJA
200880	BANDEJA
200881	BANDEJA
200882	BANDEJA
200883	CARPA
200884	CARPA
2008844	ASTEXTIL
200885	FOCO
